14-07-2022 20:44:13.130 | 995  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 196424 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
14-07-2022 20:44:13.131 | 996  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
14-07-2022 20:44:17.708 | 5573 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Started SummitBootcampApplication in 5.155 seconds (JVM running for 5.828)
14-07-2022 20:44:17.771 | 5636 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Aplicação inicializada!
14-07-2022 20:44:32.223 | 20088 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.SummitBootcampApplication - Acessando método de buscar musicas por filtro!
14-07-2022 20:44:32.223 | 20088 | [http-nio-8080-exec-1] | ERROR | c.c.s.b.SummitBootcampApplication - Erro ao filtrar musicas!
14-07-2022 20:44:46.793 | 34658 | [http-nio-8080-exec-4] | INFO  | c.c.s.b.SummitBootcampApplication - Acessando método de buscar musicas por filtro!
14-07-2022 20:44:46.854 | 34719 | [http-nio-8080-exec-4] | INFO  | c.c.s.b.SummitBootcampApplication - Musicas filtradas com sucesso!
14-07-2022 20:44:46.854 | 34719 | [http-nio-8080-exec-4] | INFO  | c.c.s.b.SummitBootcampApplication - Musicas não encontradas
14-07-2022 20:45:05.220 | 53085 | [http-nio-8080-exec-5] | INFO  | c.c.s.b.SummitBootcampApplication - Acessando método de buscar musicas por filtro!
14-07-2022 20:45:05.310 | 53175 | [http-nio-8080-exec-5] | INFO  | c.c.s.b.SummitBootcampApplication - Musicas filtradas com sucesso!
14-07-2022 20:45:05.310 | 53175 | [http-nio-8080-exec-5] | INFO  | c.c.s.b.SummitBootcampApplication - Musicas retornadas com sucesso!
15-07-2022 08:07:30.837 | 257  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
15-07-2022 08:07:31.396 | 816  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 43197 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
15-07-2022 08:07:31.397 | 817  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
15-07-2022 08:07:35.647 | 5067 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Started SummitBootcampApplication in 4.657 seconds (JVM running for 5.261)
15-07-2022 08:07:35.709 | 5129 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Aplicação inicializada!
15-07-2022 08:44:42.226 | 208  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
15-07-2022 08:44:42.716 | 698  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 49584 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
15-07-2022 08:44:42.717 | 699  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
15-07-2022 08:44:46.803 | 4785 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Started SummitBootcampApplication in 4.449 seconds (JVM running for 4.943)
15-07-2022 08:44:46.906 | 4888 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Aplicação inicializada!
15-07-2022 08:44:59.641 | 17623 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 08:44:59.732 | 17714 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.service.MusicaService - Musicas filtradas com sucesso!
15-07-2022 08:44:59.733 | 17715 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.controller.MusicController - Musicas retornadas com sucesso!
15-07-2022 08:07:30.837 | 257  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
15-07-2022 08:07:31.396 | 816  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 43197 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
15-07-2022 08:07:31.397 | 817  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
15-07-2022 08:07:35.647 | 5067 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Started SummitBootcampApplication in 4.657 seconds (JVM running for 5.261)
15-07-2022 08:07:35.709 | 5129 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Aplicação inicializada!
15-07-2022 08:44:42.226 | 208  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
15-07-2022 08:44:42.716 | 698  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 49584 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
15-07-2022 08:44:42.717 | 699  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
15-07-2022 08:44:46.803 | 4785 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Started SummitBootcampApplication in 4.449 seconds (JVM running for 4.943)
15-07-2022 08:44:46.906 | 4888 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Aplicação inicializada!
15-07-2022 08:44:59.641 | 17623 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 08:44:59.732 | 17714 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.service.MusicaService - Musicas filtradas com sucesso!
15-07-2022 08:44:59.733 | 17715 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.controller.MusicController - Musicas retornadas com sucesso!
15-07-2022 10:57:57.980 | 187  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
15-07-2022 10:57:58.422 | 629  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 79100 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
15-07-2022 10:57:58.422 | 629  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
15-07-2022 10:58:01.957 | 4164 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Started SummitBootcampApplication in 3.859 seconds (JVM running for 4.34)
15-07-2022 10:58:02.010 | 4217 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Aplicação inicializada!
15-07-2022 10:58:12.077 | 14284 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 10:58:12.166 | 14373 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.service.MusicaService - Musicas filtradas com sucesso!
15-07-2022 10:58:12.167 | 14374 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.controller.MusicController - Musicas retornadas com sucesso!
15-07-2022 10:58:16.434 | 18641 | [http-nio-8080-exec-3] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 10:58:16.435 | 18642 | [http-nio-8080-exec-3] | ERROR | c.c.s.b.service.MusicaService - Erro ao filtrar musicas!
15-07-2022 10:58:49.461 | 51668 | [http-nio-8080-exec-5] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 10:58:49.461 | 51668 | [http-nio-8080-exec-5] | ERROR | c.c.s.b.service.MusicaService - Erro ao filtrar musicas!
15-07-2022 10:58:54.355 | 56562 | [http-nio-8080-exec-7] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 10:58:54.356 | 56563 | [http-nio-8080-exec-7] | ERROR | c.c.s.b.service.MusicaService - Erro ao filtrar musicas!
15-07-2022 10:58:59.174 | 61381 | [http-nio-8080-exec-9] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 10:58:59.216 | 61423 | [http-nio-8080-exec-9] | INFO  | c.c.s.b.service.MusicaService - Musicas filtradas com sucesso!
15-07-2022 10:58:59.216 | 61423 | [http-nio-8080-exec-9] | INFO  | c.c.s.b.controller.MusicController - Musicas retornadas com sucesso!
15-07-2022 13:32:34.031 | 9276238 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 13:32:34.097 | 9276304 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.service.MusicaService - Musicas filtradas com sucesso!
15-07-2022 13:32:34.097 | 9276304 | [http-nio-8080-exec-1] | INFO  | c.c.s.b.controller.MusicController - Musicas retornadas com sucesso!
15-07-2022 13:32:42.582 | 9284789 | [http-nio-8080-exec-3] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 13:32:42.633 | 9284840 | [http-nio-8080-exec-3] | INFO  | c.c.s.b.service.MusicaService - Musicas filtradas com sucesso!
15-07-2022 13:32:42.633 | 9284840 | [http-nio-8080-exec-3] | INFO  | c.c.s.b.controller.MusicController - Musicas retornadas com sucesso!
15-07-2022 19:58:05.776 | 32407983 | [http-nio-8080-exec-6] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 19:58:05.777 | 32407984 | [http-nio-8080-exec-6] | ERROR | c.c.s.b.service.MusicaService - Erro ao filtrar musicas!
15-07-2022 19:59:30.987 | 32493194 | [http-nio-8080-exec-8] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 19:59:30.987 | 32493194 | [http-nio-8080-exec-8] | ERROR | c.c.s.b.service.MusicaService - Erro ao filtrar musicas!
15-07-2022 20:17:46.671 | 163  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
15-07-2022 20:17:47.069 | 561  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 215010 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
15-07-2022 20:17:47.070 | 562  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
15-07-2022 20:17:49.889 | 3381 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Started SummitBootcampApplication in 3.127 seconds (JVM running for 3.539)
15-07-2022 20:17:49.923 | 3415 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Aplicação inicializada!
15-07-2022 20:24:06.746 | 172  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
15-07-2022 20:24:07.175 | 601  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 215448 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
15-07-2022 20:24:07.178 | 604  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
15-07-2022 20:24:22.592 | 169  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
15-07-2022 20:24:23.004 | 581  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 215535 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
15-07-2022 20:24:23.004 | 581  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
15-07-2022 20:48:03.838 | 198  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
15-07-2022 20:48:04.282 | 642  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 219508 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
15-07-2022 20:48:04.285 | 645  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
15-07-2022 20:48:06.960 | 3320 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Started SummitBootcampApplication in 3.011 seconds (JVM running for 3.49)
15-07-2022 20:48:07.000 | 3360 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Aplicação inicializada!
15-07-2022 20:48:13.578 | 9938 | [http-nio-8080-exec-2] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 20:48:13.579 | 9939 | [http-nio-8080-exec-2] | ERROR | c.c.s.b.service.MusicaService - Erro ao filtrar musicas!
15-07-2022 20:49:16.478 | 164  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Inicializando Aplicação
15-07-2022 20:49:16.899 | 585  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Starting SummitBootcampApplication using Java 11.0.14 on lnb035864cps with PID 219693 (/home/alefep/Documentos/projetct-myMusic-toTal/MyMusic/target/classes started by CIANDT\alefep in /home/alefep/Documentos/projetct-myMusic-toTal)
15-07-2022 20:49:16.899 | 585  | [main] | INFO  | c.c.s.b.SummitBootcampApplication - No active profile set, falling back to default profiles: default
15-07-2022 20:49:19.527 | 3213 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Started SummitBootcampApplication in 2.957 seconds (JVM running for 3.366)
15-07-2022 20:49:19.558 | 3244 | [main] | INFO  | c.c.s.b.SummitBootcampApplication - Aplicação inicializada!
15-07-2022 20:49:29.897 | 13583 | [http-nio-8080-exec-4] | INFO  | c.c.s.b.controller.MusicController - Acessando método de buscar musicas por filtro!
15-07-2022 20:49:29.897 | 13583 | [http-nio-8080-exec-4] | ERROR | c.c.s.b.service.MusicaService - Erro ao filtrar musicas!
